profile_name,trials,uav_count_mean,uav_count_std,drop_probability_mean,drop_probability_std,delay_mean_ms_mean,delay_mean_ms_std,delay_jitter_ms_mean,delay_jitter_ms_std,total_events_mean,total_events_std,allocation_events_mean,allocation_events_std,bid_events_mean,bid_events_std,local_state_events_mean,local_state_events_std,total_task_switches_mean,total_task_switches_std,runtime_sec_mean,runtime_sec_std,stabilization_sec_mean,stabilization_sec_std
baseline,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3570.0,9.0,1190.0,3.0,1190.0,3.0,1190.0,3.0,0.0,0.0,61.075282333333334,0.6329362321832539,0.805408,0.004622924182809018
delay,3,4.0,0.0,0.0,0.0,200.0,0.0,50.0,0.0,3556.3333333333335,16.289055630494154,1186.6666666666667,5.507570547286102,1183.0,5.291502622129181,1186.6666666666667,5.507570547286102,1.6666666666666667,1.1547005383792515,60.956599,0.851093242964013,1.0722346666666667,0.2991833158455419
loss,3,4.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3298.3333333333335,22.27853974867593,1186.6666666666667,8.082903768654761,925.0,6.244997998398398,1186.6666666666667,8.082903768654761,0.6666666666666666,1.1547005383792515,60.949355,1.0157840381306444,1.3481803333333333,0.42805227066952145
stress,3,4.0,0.0,0.2,0.0,200.0,0.0,50.0,0.0,3284.0,22.715633383201094,1190.6666666666667,7.571877794400365,902.6666666666666,7.571877794400365,1190.6666666666667,7.571877794400365,1.3333333333333333,1.1547005383792515,60.986119333333335,0.5010706525195168,0.904953,0.2510268762483412
