profile_name,uav_count,drop_probability,delay_mean_ms,delay_jitter_ms,total_events,allocation_events,bid_events,local_state_events,total_task_switches,runtime_sec,stabilization_sec
baseline,4,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0
delay,4,0.0,200.0,50.0,0,0,0,0,0,0.0,0.0
loss,4,0.2,0.0,0.0,0,0,0,0,0,0.0,0.0
stress,4,0.2,200.0,50.0,0,0,0,0,0,0.0,0.0
